time,open,high,low,close,tick_volume,spread,real_volume
2026-04-06 01:00:00,1.15205,1.15211,1.1505,1.15147,4107,0,0
2026-04-06 02:00:00,1.15147,1.15168,1.15084,1.15094,1873,0,0
2026-04-06 03:00:00,1.15094,1.15183,1.15092,1.15117,2556,0,0
2026-04-06 04:00:00,1.15117,1.15143,1.15051,1.15064,1944,0,0
2026-04-06 05:00:00,1.15064,1.15287,1.15064,1.15206,3356,0,0
2026-04-06 06:00:00,1.15206,1.1522999999999999,1.15167,1.15189,1983,0,0
2026-04-06 07:00:00,1.1519,1.15249,1.15182,1.1524,1654,0,0
2026-04-06 08:00:00,1.1524,1.15295,1.15222,1.15252,2069,1,0
2026-04-06 09:00:00,1.15252,1.1537600000000001,1.15215,1.1533,3253,0,0
2026-04-06 10:00:00,1.1533,1.15687,1.15255,1.15643,4597,0,0
2026-04-06 11:00:00,1.15642,1.15685,1.15534,1.1555,4071,0,0
2026-04-06 12:00:00,1.1555,1.15603,1.15469,1.15503,3384,0,0
2026-04-06 13:00:00,1.15503,1.15542,1.1537600000000001,1.1548,3444,0,0
2026-04-06 14:00:00,1.1548,1.15499,1.15394,1.15456,3036,0,0
2026-04-06 15:00:00,1.15456,1.15545,1.15421,1.1553200000000001,3204,0,0
2026-04-06 16:00:00,1.1553200000000001,1.15611,1.1549,1.15599,4607,0,0
2026-04-06 17:00:00,1.15599,1.15714,1.15424,1.1543,9001,0,0
2026-04-06 18:00:00,1.1543,1.15443,1.15348,1.15434,5507,0,0
2026-04-06 19:00:00,1.15434,1.15481,1.15416,1.15449,3725,0,0
2026-04-06 20:00:00,1.15449,1.15489,1.15331,1.15414,5621,0,0
2026-04-06 21:00:00,1.15414,1.15526,1.1538599999999999,1.15456,5011,0,0
2026-04-06 22:00:00,1.15456,1.15467,1.15399,1.15428,2159,0,0
2026-04-06 23:00:00,1.15428,1.15444,1.15401,1.15418,1919,2,0
2026-04-07 00:00:00,1.1540300000000001,1.15439,1.15355,1.15429,848,9,0
2026-04-07 01:00:00,1.15428,1.15477,1.15421,1.15425,1158,1,0
2026-04-07 02:00:00,1.15425,1.15432,1.1538599999999999,1.15406,724,0,0
2026-04-07 03:00:00,1.15407,1.15438,1.15363,1.15375,2465,0,0
2026-04-07 04:00:00,1.15375,1.15401,1.1526399999999999,1.153,2832,0,0
2026-04-07 05:00:00,1.153,1.15318,1.15242,1.15295,2137,0,0
2026-04-07 06:00:00,1.15295,1.15347,1.15285,1.15334,1398,1,0
2026-04-07 07:00:00,1.15334,1.15388,1.15324,1.15382,1344,0,0
2026-04-07 08:00:00,1.15382,1.15396,1.15293,1.15353,2342,0,0
2026-04-07 09:00:00,1.15354,1.15455,1.15323,1.15446,3158,0,0
2026-04-07 10:00:00,1.15446,1.1546,1.15366,1.15428,3677,0,0
2026-04-07 11:00:00,1.15427,1.15755,1.15411,1.15735,7815,0,0
2026-04-07 12:00:00,1.15735,1.15753,1.15618,1.15625,4495,0,0
2026-04-07 13:00:00,1.1562999999999999,1.15636,1.15457,1.15541,7263,0,0
2026-04-07 14:00:00,1.15541,1.15619,1.15468,1.15599,4139,0,0
2026-04-07 15:00:00,1.15599,1.15697,1.1553200000000001,1.15604,5414,0,0
2026-04-07 16:00:00,1.15604,1.15649,1.1555,1.15635,6176,0,0
2026-04-07 17:00:00,1.15635,1.15835,1.15571,1.15719,8176,0,0
2026-04-07 18:00:00,1.15719,1.15785,1.15652,1.1571,6995,0,0
2026-04-07 19:00:00,1.1571,1.15794,1.1569,1.15714,5926,0,0
2026-04-07 20:00:00,1.15714,1.15795,1.15663,1.15774,4410,0,0
2026-04-07 21:00:00,1.15774,1.1583,1.15714,1.15746,3610,0,0
2026-04-07 22:00:00,1.15746,1.16016,1.15724,1.1595,7898,0,0
2026-04-07 23:00:00,1.15949,1.16048,1.15916,1.15965,4227,0,0
2026-04-08 00:00:00,1.15937,1.16,1.15909,1.15977,1193,0,0
2026-04-08 01:00:00,1.15975,1.16695,1.15883,1.16675,9262,0,0
2026-04-08 02:00:00,1.16678,1.16901,1.1661,1.16861,10297,0,0
2026-04-08 03:00:00,1.16862,1.16968,1.16658,1.16717,10332,0,0
2026-04-08 04:00:00,1.16717,1.16882,1.16709,1.16754,6496,0,0
2026-04-08 05:00:00,1.16754,1.16822,1.16687,1.16736,4112,0,0
2026-04-08 06:00:00,1.16736,1.16758,1.16657,1.16705,3536,0,0
2026-04-08 07:00:00,1.16705,1.16811,1.16705,1.1676199999999999,3775,0,0
2026-04-08 08:00:00,1.16765,1.17086,1.16721,1.16914,5344,0,0
2026-04-08 09:00:00,1.16914,1.17084,1.16842,1.16962,7470,0,0
2026-04-08 10:00:00,1.16962,1.17001,1.16789,1.16955,6830,0,0
2026-04-08 11:00:00,1.16955,1.16991,1.1669,1.16811,6281,0,0
2026-04-08 12:00:00,1.16811,1.16893,1.16773,1.16795,5220,0,0
2026-04-08 13:00:00,1.16795,1.16925,1.16774,1.16902,4186,0,0
2026-04-08 14:00:00,1.16902,1.1710099999999999,1.16848,1.17,6183,0,0
2026-04-08 15:00:00,1.17,1.1718,1.16881,1.1714,8018,0,0
2026-04-08 16:00:00,1.17139,1.17216,1.1687,1.16942,9163,0,0
2026-04-08 17:00:00,1.16941,1.17034,1.16894,1.1694,9653,0,0
2026-04-08 18:00:00,1.16942,1.16964,1.16834,1.16861,7048,0,0
2026-04-08 19:00:00,1.16861,1.16885,1.1676199999999999,1.16817,5769,0,0
2026-04-08 20:00:00,1.16817,1.16852,1.16686,1.16747,4851,0,0
2026-04-08 21:00:00,1.16747,1.16801,1.16496,1.16502,6401,0,0
2026-04-08 22:00:00,1.165,1.16703,1.16434,1.16677,5394,0,0
2026-04-08 23:00:00,1.16676,1.16692,1.16598,1.16619,2028,2,0
2026-04-09 00:00:00,1.1662,1.16665,1.16544,1.16651,684,3,0
2026-04-09 01:00:00,1.16654,1.1667399999999999,1.16597,1.1662,1309,1,0
2026-04-09 02:00:00,1.1662,1.16632,1.16567,1.16587,1050,2,0
2026-04-09 03:00:00,1.16587,1.16609,1.1651799999999999,1.16571,2841,0,0
2026-04-09 04:00:00,1.16571,1.16635,1.16498,1.16617,2471,0,0
2026-04-09 05:00:00,1.16617,1.16673,1.16584,1.16652,2038,0,0
2026-04-09 06:00:00,1.16652,1.16667,1.16604,1.16617,1733,0,0
2026-04-09 07:00:00,1.16618,1.1671,1.16614,1.16663,1663,0,0
2026-04-09 08:00:00,1.16663,1.16676,1.16588,1.16608,2118,0,0
2026-04-09 09:00:00,1.16608,1.16642,1.1654,1.1663999999999999,3450,0,0
2026-04-09 10:00:00,1.16644,1.16692,1.16549,1.16629,3894,0,0
2026-04-09 11:00:00,1.16629,1.16748,1.16586,1.16721,3666,0,0
2026-04-09 12:00:00,1.16721,1.16791,1.16681,1.16745,3539,0,0
2026-04-09 13:00:00,1.16745,1.16794,1.16704,1.16711,2969,0,0
2026-04-09 14:00:00,1.16709,1.16894,1.16682,1.16879,3490,0,0
2026-04-09 15:00:00,1.16879,1.169,1.1678600000000001,1.1686,4161,0,0
2026-04-09 16:00:00,1.1686,1.16952,1.16793,1.16817,5814,0,0
2026-04-09 17:00:00,1.16817,1.16881,1.16728,1.16844,6216,0,0
2026-04-09 18:00:00,1.16844,1.17071,1.16767,1.17053,7868,0,0
2026-04-09 19:00:00,1.17053,1.17139,1.1702,1.17105,5389,0,0
2026-04-09 20:00:00,1.17104,1.17234,1.17097,1.1714,4443,0,0
2026-04-09 21:00:00,1.1714,1.17148,1.16962,1.16988,4876,0,0
2026-04-09 22:00:00,1.16987,1.17085,1.16973,1.17005,2997,0,0
2026-04-09 23:00:00,1.17004,1.17007,1.16951,1.16988,1380,0,0
2026-04-10 00:00:00,1.17009,1.17014,1.16949,1.1701,1160,2,0
2026-04-10 01:00:00,1.17016,1.17024,1.16912,1.16938,1887,0,0
2026-04-10 02:00:00,1.16939,1.16959,1.16894,1.16914,972,0,0
2026-04-10 03:00:00,1.16914,1.16915,1.16843,1.16878,2028,0,0
